makeid,modelid,manufacturerid,VIN,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor
460,1801,976,1FTRW12W86KC,,,,Crew/Super Crew/Crew Max,Pickup,8,,4600,280.7092228,4.6,,4x2,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",FORD,FORD MOTOR COMPANY,F-150,2006,KANSAS CITY,,F-Series,,,Styleside,TRUCK,,,Hydraulic,,,,,,,,,,,,Single Overhead Cam (SOHC),,V-Shaped,1st Row (Driver and Passenger),,,,231,,UNITED STATES (USA),,MISSOURI,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Sec. Gen. Air Bags,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FTRW12W*6K
474,1863,988,19XFB2F54FE1,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1802.57704,110,1.80257704,4,,,,R18Z1,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Civic,2015,GREENBURG,,,,Continuously Variable Transmission (CVT),LX,PASSENGER CAR,,,,,,,,1st Row (Driver and Passenger),,,,,,,Single Overhead Cam (SOHC),,In-Line,1st Row (Driver and Passenger),,,,143,,UNITED STATES (USA),,INDIANA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,19XFB2F5*FE
1056,10997,984,1G8JU52F61Y5,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2200,134.252237,2.2,4,,,,L61,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",SATURN,GENERAL MOTORS LLC,LS1,2001,WILMINGTON,,,,Automatic,,PASSENGER CAR,4,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,Multipoint Fuel Injection (MPFI),,170,,UNITED STATES (USA),Wilmington Assembly,DELAWARE,,Manual,,,,,,,,,,,,,,,,,,,,,"Body Type: Sedan, 4-6 Window, Notchback (GM codes: 19, 69)",,Not Applicable,Not Applicable,,,,,,,,,,"Name Plate: Chevrolet, Pontiac, Saturn, Oldsmobile",,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1G8JU52F*1Y
498,2058,15984,KM8JN12D46U3,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,2700,164.7641091,2.7,,FWD/Front-Wheel Drive,,,,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",HYUNDAI,HYUNDAI MOTOR CO,Tucson,2006,UL-SAN,,JM,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,,,,,,,,SOUTH KOREA,,,,,,,,,,,,,,,,,,,,,,Wagon Body Style,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,KM8JN12D*6U
483,1949,994,1J4GX48S34C2,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,4000,244.0949764,4,4,4x2,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",JEEP,FCA US LLC,Grand Cherokee,2004,DETROIT,,WJ,Left-Hand Drive (LHD),,Laredo,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,In-Line,,,,,,,UNITED STATES (USA),Jefferson North Assembly,MICHIGAN,,,,,,,,,,,,,,,,,,,,H (High Line),,,,,Not Applicable,Not Applicable,,,,,,,,,,Sales Code: ERH,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1J4GX48S*4C
448,2467,1090,5TFUW5F11FX4,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,5700,347.8353413,5.7,,4WD/4-Wheel Drive/4x4,,,3UR-FE,,,Gasoline,"Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)",TOYOTA,"TOYOTA MOTOR MANUFACTURING, TEXAS, INC.",Tundra,2015,SAN ANTONIO,,UPK51L/USK51L/USK52L/UPK56L/USK56L/USK57L,,,SR5 Grade,TRUCK,,,,,,,,All Rows,,,,,Long,,,,V-Shaped,1st Row (Driver and Passenger),Ethanol (E85),Multipoint Fuel Injection (MPFI),1st Row (Driver and Passenger),381,,UNITED STATES (USA),"Toyota Motor Manufacturing, Texas, Inc.",TEXAS,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5TFUW5F1*FX
452,1709,966,WBAVA37588NL,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2995.555299,182.8,3,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,328i,2008,ROSSLYN,,3-Series,,,SA,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,230,,SOUTH AFRICA,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,WBAVA375*8N
448,2208,1062,1NXBB02E3TZ3,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1762,109.8427394,1.8,4,4x2,,,7A,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",TOYOTA,"NEW UNITED MOTOR MANUFACTURING, INC.",Corolla,1996,FREMONT,,Standard,,,,PASSENGER CAR,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,,,105,,UNITED STATES (USA),"New United Motor Manufacturing, Inc.",CALIFORNIA,,Manual,,,,,,,,,,,,,,,,,,,,,"Manufactured by NUMMI, but marketed by Toyota for 1NX.",,Not Applicable,Not Applicable,,,,,Water,120,,,,,,,,,,,,,,6,,,Toyota,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1NXBB02E*TZ
460,1818,976,1FDWE35F83HA,,,,,Incomplete - Cutaway,8,,7300,445.4733319,7.3,,,,,,,,Diesel,"Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",FORD,FORD MOTOR COMPANY,E-350,2003,LORAIN,,Econoline,,,,INCOMPLETE VEHICLE,,,,,,,,,,,,,,,,,V-Shaped,,,,,215,,UNITED STATES (USA),Lorain Assembly Plant,OHIO,,,,,,,,,,,,,,,,,,,,,,,Single Rear Wheel/Dual Rear Wheel,,Not Applicable,Not Applicable,,,,,,,,,,EFI,,,,,,,,,,6,,,Navistar,,,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FDWE35F*3H
542,2818,1171,4S2CK58W7143,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3200,195.2759811,3.2,4,4x2,,,6VD1,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",ISUZU,"ISUZU MOTORS LIMITED, JAPAN",Rodeo,2001,LAFAYETTE,,1/4 ton nominal (4 or 5 seater plus),,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Subaru-Isuzu Automotive Inc.,INDIANA,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,Isuzu,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,4S2CK58W*14
